"","conc","ab_1","ab_2","ab_3"
"1",42,NA,15,1
"2",51,2,15,1
"3",59,4,15,1
"4",64,6,15,1
"5",76,8,15,1
"6",93,10,15,1
"7",106,12,15,1
"8",125,14,15,1
"9",149,16,15,1
"10",171,18,15,1
"11",199,20,15,1
"12",205,21,15,1
"13",40,NA,17,1
"14",49,2,17,1
"15",58,4,17,1
"16",72,6,17,1
"17",84,8,17,1
"18",103,10,17,1
"19",122,12,17,1
"20",138,14,17,1
"21",162,16,17,1
"22",187,18,17,1
"23",209,20,17,1
"24",215,21,17,1
"25",43,NA,14,1
"26",39,2,14,1
"27",55,4,14,1
"28",67,6,14,1
"29",84,8,14,1
"30",99,10,14,1
"31",115,12,14,1
"32",138,14,14,1
"33",163,16,14,1
"34",187,18,14,1
"35",198,20,14,1
"36",202,21,14,1
"37",42,NA,11,1
"38",49,2,11,1
"39",56,4,11,1
"40",67,6,11,1
"41",74,8,11,1
"42",87,10,11,1
"43",102,12,11,1
"44",108,14,11,1
"45",136,16,11,1
"46",154,18,11,1
"47",160,20,11,1
"48",157,21,11,1
"49",41,NA,18,1
"50",42,2,18,1
"51",48,4,18,1
"52",60,6,18,1
"53",79,8,18,1
"54",106,10,18,1
"55",141,12,18,1
"56",164,14,18,1
"57",197,16,18,1
"58",199,18,18,1
"59",220,20,18,1
"60",223,21,18,1
"61",41,NA,12,1
"62",49,2,12,1
"63",59,4,12,1
"64",74,6,12,1
"65",97,8,12,1
"66",124,10,12,1
"67",141,12,12,1
"68",148,14,12,1
"69",155,16,12,1
"70",160,18,12,1
"71",160,20,12,1
"72",157,21,12,1
"73",41,NA,20,1
"74",49,2,20,1
"75",57,4,20,1
"76",71,6,20,1
"77",89,8,20,1
"78",112,10,20,1
"79",146,12,20,1
"80",174,14,20,1
"81",218,16,20,1
"82",250,18,20,1
"83",288,20,20,1
"84",305,21,20,1
"85",42,NA,8,1
"86",50,2,8,1
"87",61,4,8,1
"88",71,6,8,1
"89",84,8,8,1
"90",93,10,8,1
"91",110,12,8,1
"92",116,14,8,1
"93",126,16,8,1
"94",134,18,8,1
"95",125,20,8,1
"96",42,NA,5,1
"97",51,2,5,1
"98",59,4,5,1
"99",68,6,5,1
"100",85,8,5,1
"101",96,10,5,1
"102",90,12,5,1
"103",92,14,5,1
"104",93,16,5,1
"105",100,18,5,1
"106",100,20,5,1
"107",98,21,5,1
"108",41,NA,7,1
"109",44,2,7,1
"110",52,4,7,1
"111",63,6,7,1
"112",74,8,7,1
"113",81,10,7,1
"114",89,12,7,1
"115",96,14,7,1
"116",101,16,7,1
"117",112,18,7,1
"118",120,20,7,1
"119",124,21,7,1
"120",43,NA,13,1
"121",51,2,13,1
"122",63,4,13,1
"123",84,6,13,1
"124",112,8,13,1
"125",139,10,13,1
"126",168,12,13,1
"127",177,14,13,1
"128",182,16,13,1
"129",184,18,13,1
"130",181,20,13,1
"131",175,21,13,1
"132",41,NA,16,1
"133",49,2,16,1
"134",56,4,16,1
"135",62,6,16,1
"136",72,8,16,1
"137",88,10,16,1
"138",119,12,16,1
"139",135,14,16,1
"140",162,16,16,1
"141",185,18,16,1
"142",195,20,16,1
"143",205,21,16,1
"144",41,NA,4,1
"145",48,2,4,1
"146",53,4,4,1
"147",60,6,4,1
"148",65,8,4,1
"149",67,10,4,1
"150",71,12,4,1
"151",70,14,4,1
"152",71,16,4,1
"153",81,18,4,1
"154",91,20,4,1
"155",96,21,4,1
"156",41,NA,19,1
"157",49,2,19,1
"158",62,4,19,1
"159",79,6,19,1
"160",101,8,19,1
"161",128,10,19,1
"162",164,12,19,1
"163",192,14,19,1
"164",227,16,19,1
"165",248,18,19,1
"166",259,20,19,1
"167",266,21,19,1
"168",41,NA,3,1
"169",49,2,3,1
"170",56,4,3,1
"171",64,6,3,1
"172",68,8,3,1
"173",68,10,3,1
"174",67,12,3,1
"175",68,14,3,1
"176",41,NA,2,1
"177",45,2,2,1
"178",49,4,2,1
"179",51,6,2,1
"180",57,8,2,1
"181",51,10,2,1
"182",54,12,2,1
"183",42,NA,9,1
"184",51,2,9,1
"185",61,4,9,1
"186",72,6,9,1
"187",83,8,9,1
"188",89,10,9,1
"189",98,12,9,1
"190",103,14,9,1
"191",113,16,9,1
"192",123,18,9,1
"193",133,20,9,1
"194",142,21,9,1
"195",39,NA,1,1
"196",35,2,1,1
"197",43,NA,10,1
"198",48,2,10,1
"199",55,4,10,1
"200",62,6,10,1
"201",65,8,10,1
"202",71,10,10,1
"203",82,12,10,1
"204",88,14,10,1
"205",106,16,10,1
"206",120,18,10,1
"207",144,20,10,1
"208",157,21,10,1
"209",41,NA,6,1
"210",47,2,6,1
"211",54,4,6,1
"212",58,6,6,1
"213",65,8,6,1
"214",73,10,6,1
"215",77,12,6,1
"216",89,14,6,1
"217",98,16,6,1
"218",107,18,6,1
"219",115,20,6,1
"220",117,21,6,1
"221",40,NA,30,2
"222",50,2,30,2
"223",62,4,30,2
"224",86,6,30,2
"225",125,8,30,2
"226",163,10,30,2
"227",217,12,30,2
"228",240,14,30,2
"229",275,16,30,2
"230",307,18,30,2
"231",318,20,30,2
"232",331,21,30,2
"233",41,NA,23,2
"234",55,2,23,2
"235",64,4,23,2
"236",77,6,23,2
"237",90,8,23,2
"238",95,10,23,2
"239",108,12,23,2
"240",111,14,23,2
"241",131,16,23,2
"242",148,18,23,2
"243",164,20,23,2
"244",167,21,23,2
"245",43,NA,24,2
"246",52,2,24,2
"247",61,4,24,2
"248",73,6,24,2
"249",90,8,24,2
"250",103,10,24,2
"251",127,12,24,2
"252",135,14,24,2
"253",145,16,24,2
"254",163,18,24,2
"255",170,20,24,2
"256",175,21,24,2
"257",42,NA,21,2
"258",52,2,21,2
"259",58,4,21,2
"260",74,6,21,2
"261",66,8,21,2
"262",68,10,21,2
"263",70,12,21,2
"264",71,14,21,2
"265",72,16,21,2
"266",72,18,21,2
"267",76,20,21,2
"268",74,21,21,2
"269",40,NA,28,2
"270",49,2,28,2
"271",62,4,28,2
"272",78,6,28,2
"273",102,8,28,2
"274",124,10,28,2
"275",146,12,28,2
"276",164,14,28,2
"277",197,16,28,2
"278",231,18,28,2
"279",259,20,28,2
"280",265,21,28,2
"281",42,NA,27,2
"282",48,2,27,2
"283",57,4,27,2
"284",74,6,27,2
"285",93,8,27,2
"286",114,10,27,2
"287",136,12,27,2
"288",147,14,27,2
"289",169,16,27,2
"290",205,18,27,2
"291",236,20,27,2
"292",251,21,27,2
"293",39,NA,25,2
"294",46,2,25,2
"295",58,4,25,2
"296",73,6,25,2
"297",87,8,25,2
"298",100,10,25,2
"299",115,12,25,2
"300",123,14,25,2
"301",144,16,25,2
"302",163,18,25,2
"303",185,20,25,2
"304",192,21,25,2
"305",39,NA,26,2
"306",46,2,26,2
"307",58,4,26,2
"308",73,6,26,2
"309",92,8,26,2
"310",114,10,26,2
"311",145,12,26,2
"312",156,14,26,2
"313",184,16,26,2
"314",207,18,26,2
"315",212,20,26,2
"316",233,21,26,2
"317",39,NA,29,2
"318",48,2,29,2
"319",59,4,29,2
"320",74,6,29,2
"321",87,8,29,2
"322",106,10,29,2
"323",134,12,29,2
"324",150,14,29,2
"325",187,16,29,2
"326",230,18,29,2
"327",279,20,29,2
"328",309,21,29,2
"329",42,NA,22,2
"330",48,2,22,2
"331",59,4,22,2
"332",72,6,22,2
"333",85,8,22,2
"334",98,10,22,2
"335",115,12,22,2
"336",122,14,22,2
"337",143,16,22,2
"338",151,18,22,2
"339",157,20,22,2
"340",150,21,22,2
"341",42,NA,34,3
"342",53,2,34,3
"343",62,4,34,3
"344",73,6,34,3
"345",85,8,34,3
"346",102,10,34,3
"347",123,12,34,3
"348",138,14,34,3
"349",170,16,34,3
"350",204,18,34,3
"351",235,20,34,3
"352",256,21,34,3
"353",41,NA,37,3
"354",49,2,37,3
"355",65,4,37,3
"356",82,6,37,3
"357",107,8,37,3
"358",129,10,37,3
"359",159,12,37,3
"360",179,14,37,3
"361",221,16,37,3
"362",263,18,37,3
"363",291,20,37,3
"364",305,21,37,3
"365",39,NA,31,3
"366",50,2,31,3
"367",63,4,31,3
"368",77,6,31,3
"369",96,8,31,3
"370",111,10,31,3
"371",137,12,31,3
"372",144,14,31,3
"373",151,16,31,3
"374",146,18,31,3
"375",156,20,31,3
"376",147,21,31,3
"377",41,NA,39,3
"378",49,2,39,3
"379",63,4,39,3
"380",85,6,39,3
"381",107,8,39,3
"382",134,10,39,3
"383",164,12,39,3
"384",186,14,39,3
"385",235,16,39,3
"386",294,18,39,3
"387",327,20,39,3
"388",341,21,39,3
"389",41,NA,40,3
"390",53,2,40,3
"391",64,4,40,3
"392",87,6,40,3
"393",123,8,40,3
"394",158,10,40,3
"395",201,12,40,3
"396",238,14,40,3
"397",287,16,40,3
"398",332,18,40,3
"399",361,20,40,3
"400",373,21,40,3
"401",39,NA,33,3
"402",48,2,33,3
"403",61,4,33,3
"404",76,6,33,3
"405",98,8,33,3
"406",116,10,33,3
"407",145,12,33,3
"408",166,14,33,3
"409",198,16,33,3
"410",227,18,33,3
"411",225,20,33,3
"412",220,21,33,3
"413",41,NA,32,3
"414",48,2,32,3
"415",56,4,32,3
"416",68,6,32,3
"417",80,8,32,3
"418",83,10,32,3
"419",103,12,32,3
"420",112,14,32,3
"421",135,16,32,3
"422",157,18,32,3
"423",169,20,32,3
"424",178,21,32,3
"425",41,NA,36,3
"426",49,2,36,3
"427",61,4,36,3
"428",74,6,36,3
"429",98,8,36,3
"430",109,10,36,3
"431",128,12,36,3
"432",154,14,36,3
"433",192,16,36,3
"434",232,18,36,3
"435",280,20,36,3
"436",290,21,36,3
"437",42,NA,35,3
"438",50,2,35,3
"439",61,4,35,3
"440",78,6,35,3
"441",89,8,35,3
"442",109,10,35,3
"443",130,12,35,3
"444",146,14,35,3
"445",170,16,35,3
"446",214,18,35,3
"447",250,20,35,3
"448",272,21,35,3
"449",41,NA,38,3
"450",55,2,38,3
"451",66,4,38,3
"452",79,6,38,3
"453",101,8,38,3
"454",120,10,38,3
"455",154,12,38,3
"456",182,14,38,3
"457",215,16,38,3
"458",262,18,38,3
"459",295,20,38,3
"460",321,21,38,3
"461",42,NA,44,4
"462",51,2,44,4
"463",66,4,44,4
"464",85,6,44,4
"465",103,8,44,4
"466",124,10,44,4
"467",155,12,44,4
"468",153,14,44,4
"469",175,16,44,4
"470",184,18,44,4
"471",199,20,44,4
"472",204,21,44,4
"473",42,NA,49,4
"474",49,2,49,4
"475",63,4,49,4
"476",84,6,49,4
"477",103,8,49,4
"478",126,10,49,4
"479",160,12,49,4
"480",174,14,49,4
"481",204,16,49,4
"482",234,18,49,4
"483",269,20,49,4
"484",281,21,49,4
"485",42,NA,43,4
"486",55,2,43,4
"487",69,4,43,4
"488",96,6,43,4
"489",131,8,43,4
"490",157,10,43,4
"491",184,12,43,4
"492",188,14,43,4
"493",197,16,43,4
"494",198,18,43,4
"495",199,20,43,4
"496",200,21,43,4
"497",42,NA,41,4
"498",51,2,41,4
"499",65,4,41,4
"500",86,6,41,4
"501",103,8,41,4
"502",118,10,41,4
"503",127,12,41,4
"504",138,14,41,4
"505",145,16,41,4
"506",146,18,41,4
"507",41,NA,42,4
"508",50,2,42,4
"509",61,4,42,4
"510",78,6,42,4
"511",98,8,42,4
"512",117,10,42,4
"513",135,12,42,4
"514",141,14,42,4
"515",147,16,42,4
"516",174,18,42,4
"517",197,20,42,4
"518",196,21,42,4
"519",40,NA,47,4
"520",52,2,47,4
"521",62,4,47,4
"522",82,6,47,4
"523",101,8,47,4
"524",120,10,47,4
"525",144,12,47,4
"526",156,14,47,4
"527",173,16,47,4
"528",210,18,47,4
"529",231,20,47,4
"530",238,21,47,4
"531",41,NA,45,4
"532",53,2,45,4
"533",66,4,45,4
"534",79,6,45,4
"535",100,8,45,4
"536",123,10,45,4
"537",148,12,45,4
"538",157,14,45,4
"539",168,16,45,4
"540",185,18,45,4
"541",210,20,45,4
"542",205,21,45,4
"543",39,NA,50,4
"544",50,2,50,4
"545",62,4,50,4
"546",80,6,50,4
"547",104,8,50,4
"548",125,10,50,4
"549",154,12,50,4
"550",170,14,50,4
"551",222,16,50,4
"552",261,18,50,4
"553",303,20,50,4
"554",322,21,50,4
"555",40,NA,46,4
"556",53,2,46,4
"557",64,4,46,4
"558",85,6,46,4
"559",108,8,46,4
"560",128,10,46,4
"561",152,12,46,4
"562",166,14,46,4
"563",184,16,46,4
"564",203,18,46,4
"565",233,20,46,4
"566",237,21,46,4
"567",41,NA,48,4
"568",54,2,48,4
"569",67,4,48,4
"570",84,6,48,4
"571",105,8,48,4
"572",122,10,48,4
"573",155,12,48,4
"574",175,14,48,4
"575",205,16,48,4
"576",234,18,48,4
"577",264,20,48,4
"578",264,21,48,4
